"ai_id","Gerai Rak","Motor Bak Roda 3","Truk","AC","APAR","CCTV","Internet","Software Kasir","Kasir","Mebel","Pickup 4x4","Printer","Keranjang Belanja","Seragam KDKMP","Pallet","Brankas","Starlink"
"1","TERPASANG/TERKIRIM","TIBA DILOKASI","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","PENGIRIMAN","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TIBA DILOKASI","","TRANSIT","","TRANSIT","","73.33%"
"2","TERPASANG/TERKIRIM","TIBA DILOKASI","TIBA DILOKASI","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","PENGIRIMAN","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TIBA DILOKASI","","TRANSIT","","TRANSIT","",""
"3","TERPASANG/TERKIRIM","TIBA DILOKASI","TIBA DILOKASI","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","PENGIRIMAN","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TIBA DILOKASI","","TRANSIT","","TRANSIT","",""
"4","TERPASANG/TERKIRIM","TIBA DILOKASI","TIBA DILOKASI","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","PENGIRIMAN","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TIBA DILOKASI","","TRANSIT","","TRANSIT","",""
"5","TERPASANG/TERKIRIM","TIBA DILOKASI","TIBA DILOKASI","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","PENGIRIMAN","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TIBA DILOKASI","","TRANSIT","","TRANSIT","",""
"6","TERPASANG/TERKIRIM","TIBA DILOKASI","TIBA DILOKASI","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","PENGIRIMAN","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TIBA DILOKASI","","TRANSIT","","TRANSIT","",""
"7","TERPASANG/TERKIRIM","TIBA DILOKASI","TIBA DILOKASI","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","PENGIRIMAN","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TIBA DILOKASI","","TRANSIT","","TRANSIT","",""
"8","TERPASANG/TERKIRIM","TIBA DILOKASI","TIBA DILOKASI","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","PENGIRIMAN","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TIBA DILOKASI","","TRANSIT","","TRANSIT","",""
"9","TERPASANG/TERKIRIM","TIBA DILOKASI","TIBA DILOKASI","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","PENGIRIMAN","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TIBA DILOKASI","","TRANSIT","","TRANSIT","",""
"10","TERPASANG/TERKIRIM","TIBA DILOKASI","TIBA DILOKASI","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","PENGIRIMAN","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TIBA DILOKASI","","TRANSIT","","TRANSIT","",""
"11","TERPASANG/TERKIRIM","TIBA DILOKASI","TIBA DILOKASI","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","PENGIRIMAN","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TIBA DILOKASI","","TRANSIT","","TRANSIT","",""
"12","TERPASANG/TERKIRIM","TIBA DILOKASI","TIBA DILOKASI","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","PENGIRIMAN","TRANSIT","TERPASANG/TERKIRIM","TIBA DILOKASI","","TRANSIT","","TRANSIT","",""
"13","TERPASANG/TERKIRIM","TIBA DILOKASI","TIBA DILOKASI","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","PENGIRIMAN","TRANSIT","TERPASANG/TERKIRIM","TIBA DILOKASI","","TRANSIT","","TRANSIT","",""
"14","TERPASANG/TERKIRIM","TIBA DILOKASI","TIBA DILOKASI","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","PENGIRIMAN","TRANSIT","TERPASANG/TERKIRIM","TIBA DILOKASI","","TRANSIT","","TRANSIT","",""
"15","TERPASANG/TERKIRIM","TIBA DILOKASI","TIBA DILOKASI","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","PENGIRIMAN","TERPASANG/TERKIRIM","PENGIRIMAN","TRANSIT","TERPASANG/TERKIRIM","TIBA DILOKASI","","TRANSIT","","TRANSIT","",""
"16","TERPASANG/TERKIRIM","TIBA DILOKASI","TIBA DILOKASI","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","PENGIRIMAN","TRANSIT","TERPASANG/TERKIRIM","TIBA DILOKASI","","TRANSIT","","TRANSIT","",""
"17","TERPASANG/TERKIRIM","TIBA DILOKASI","TIBA DILOKASI","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","PENGIRIMAN","TERPASANG/TERKIRIM","PENGIRIMAN","TRANSIT","TERPASANG/TERKIRIM","TIBA DILOKASI","","TRANSIT","","TRANSIT","",""
"18","TERPASANG/TERKIRIM","TIBA DILOKASI","TIBA DILOKASI","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","PENGIRIMAN","TERPASANG/TERKIRIM","PENGIRIMAN","TRANSIT","TERPASANG/TERKIRIM","TIBA DILOKASI","","TRANSIT","","TRANSIT","",""
"19","TERPASANG/TERKIRIM","TIBA DILOKASI","TIBA DILOKASI","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","PENGIRIMAN","TERPASANG/TERKIRIM","PENGIRIMAN","TRANSIT","TERPASANG/TERKIRIM","TIBA DILOKASI","","TRANSIT","","TRANSIT","",""
"20","TERPASANG/TERKIRIM","TIBA DILOKASI","TIBA DILOKASI","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","PENGIRIMAN","TRANSIT","TERPASANG/TERKIRIM","TIBA DILOKASI","","TRANSIT","","TRANSIT","",""
"21","TERPASANG/TERKIRIM","TIBA DILOKASI","TIBA DILOKASI","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","PENGIRIMAN","TERPASANG/TERKIRIM","PENGIRIMAN","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TIBA DILOKASI","","","","TRANSIT","",""
"22","TERPASANG/TERKIRIM","TIBA DILOKASI","TIBA DILOKASI","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","PENGIRIMAN","TERPASANG/TERKIRIM","PENGIRIMAN","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TIBA DILOKASI","","","","TRANSIT","",""
"23","TERPASANG/TERKIRIM","TIBA DILOKASI","TIBA DILOKASI","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","PENGIRIMAN","TERPASANG/TERKIRIM","PENGIRIMAN","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TIBA DILOKASI","","","","TRANSIT","",""
"24","TERPASANG/TERKIRIM","TIBA DILOKASI","TIBA DILOKASI","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","PENGIRIMAN","TERPASANG/TERKIRIM","PENGIRIMAN","TRANSIT","TERPASANG/TERKIRIM","TIBA DILOKASI","","","","TRANSIT","",""
"25","TERPASANG/TERKIRIM","TIBA DILOKASI","TIBA DILOKASI","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","PENGIRIMAN","TERPASANG/TERKIRIM","PENGIRIMAN","TRANSIT","TERPASANG/TERKIRIM","TIBA DILOKASI","","","","TRANSIT","",""
"26","TERPASANG/TERKIRIM","TIBA DILOKASI","TIBA DILOKASI","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","","TERPASANG/TERKIRIM","PENGIRIMAN","TRANSIT","TERPASANG/TERKIRIM","TIBA DILOKASI","","","","TRANSIT","",""
"27","TERPASANG/TERKIRIM","TIBA DILOKASI","TIBA DILOKASI","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","","TERPASANG/TERKIRIM","PENGIRIMAN","TRANSIT","TERPASANG/TERKIRIM","TIBA DILOKASI","","","","TRANSIT","",""
"28","TERPASANG/TERKIRIM","TIBA DILOKASI","TIBA DILOKASI","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","","TERPASANG/TERKIRIM","PENGIRIMAN","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TIBA DILOKASI","","","","TRANSIT","",""
"29","TERPASANG/TERKIRIM","TIBA DILOKASI","TIBA DILOKASI","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","","TERPASANG/TERKIRIM","PENGIRIMAN","TRANSIT","TERPASANG/TERKIRIM","TIBA DILOKASI","","","","TRANSIT","",""
"30","TERPASANG/TERKIRIM","TIBA DILOKASI","TIBA DILOKASI","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","","TERPASANG/TERKIRIM","PENGIRIMAN","TRANSIT","TERPASANG/TERKIRIM","TIBA DILOKASI","","","","TRANSIT","",""
"31","TERPASANG/TERKIRIM","TIBA DILOKASI","TIBA DILOKASI","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","","TERPASANG/TERKIRIM","PENGIRIMAN","TRANSIT","TERPASANG/TERKIRIM","TIBA DILOKASI","","","","TRANSIT","",""
"32","TERPASANG/TERKIRIM","TIBA DILOKASI","TIBA DILOKASI","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","","TERPASANG/TERKIRIM","PENGIRIMAN","TRANSIT","TERPASANG/TERKIRIM","TIBA DILOKASI","","","","TRANSIT","",""
"33","TERPASANG/TERKIRIM","TIBA DILOKASI","TIBA DILOKASI","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","","TERPASANG/TERKIRIM","PENGIRIMAN","TRANSIT","TERPASANG/TERKIRIM","TIBA DILOKASI","","","","TRANSIT","",""
"34","TERPASANG/TERKIRIM","TIBA DILOKASI","TIBA DILOKASI","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","","TERPASANG/TERKIRIM","PENGIRIMAN","TRANSIT","TERPASANG/TERKIRIM","TIBA DILOKASI","","","","TRANSIT","",""
"35","TERPASANG/TERKIRIM","TIBA DILOKASI","TIBA DILOKASI","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","","TERPASANG/TERKIRIM","PENGIRIMAN","TRANSIT","TERPASANG/TERKIRIM","TIBA DILOKASI","","","","TRANSIT","",""
"36","TERPASANG/TERKIRIM","TIBA DILOKASI","TIBA DILOKASI","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","","TERPASANG/TERKIRIM","PENGIRIMAN","TRANSIT","TERPASANG/TERKIRIM","TIBA DILOKASI","","","","TRANSIT","",""
"37","TERPASANG/TERKIRIM","TIBA DILOKASI","TIBA DILOKASI","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","","TERPASANG/TERKIRIM","PENGIRIMAN","TRANSIT","TERPASANG/TERKIRIM","TIBA DILOKASI","","","","TRANSIT","",""
"38","TERPASANG/TERKIRIM","TIBA DILOKASI","TIBA DILOKASI","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","","TERPASANG/TERKIRIM","PENGIRIMAN","TRANSIT","TERPASANG/TERKIRIM","TIBA DILOKASI","","","","TRANSIT","",""
"39","TERPASANG/TERKIRIM","TIBA DILOKASI","TIBA DILOKASI","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","","TERPASANG/TERKIRIM","PENGIRIMAN","TRANSIT","TERPASANG/TERKIRIM","TIBA DILOKASI","","","","TRANSIT","",""
"40","TERPASANG/TERKIRIM","TIBA DILOKASI","TIBA DILOKASI","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","","TERPASANG/TERKIRIM","PENGIRIMAN","TRANSIT","TERPASANG/TERKIRIM","TIBA DILOKASI","","","","TRANSIT","",""
"41","TERPASANG/TERKIRIM","TIBA DILOKASI","TIBA DILOKASI","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","","TERPASANG/TERKIRIM","PENGIRIMAN","TRANSIT","TERPASANG/TERKIRIM","TIBA DILOKASI","","","","TRANSIT","",""
"42","TERPASANG/TERKIRIM","TIBA DILOKASI","TIBA DILOKASI","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","","TERPASANG/TERKIRIM","PENGIRIMAN","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TIBA DILOKASI","","","","TRANSIT","",""
"43","TERPASANG/TERKIRIM","TIBA DILOKASI","TIBA DILOKASI","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","","TERPASANG/TERKIRIM","PENGIRIMAN","TRANSIT","TERPASANG/TERKIRIM","TIBA DILOKASI","","","","TRANSIT","",""
"44","TERPASANG/TERKIRIM","TIBA DILOKASI","TIBA DILOKASI","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","","TERPASANG/TERKIRIM","PENGIRIMAN","TRANSIT","TERPASANG/TERKIRIM","TIBA DILOKASI","","","","TRANSIT","",""
"45","TERPASANG/TERKIRIM","TIBA DILOKASI","TIBA DILOKASI","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","","TERPASANG/TERKIRIM","PENGIRIMAN","TRANSIT","TERPASANG/TERKIRIM","TIBA DILOKASI","","","","TRANSIT","",""
"46","TERPASANG/TERKIRIM","TIBA DILOKASI","TIBA DILOKASI","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","PENGIRIMAN","TRANSIT","TERPASANG/TERKIRIM","TIBA DILOKASI","","","","TRANSIT","",""
"47","TERPASANG/TERKIRIM","TIBA DILOKASI","TIBA DILOKASI","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","","TERPASANG/TERKIRIM","PENGIRIMAN","TRANSIT","TERPASANG/TERKIRIM","TIBA DILOKASI","","","","TRANSIT","",""
"48","TERPASANG/TERKIRIM","TIBA DILOKASI","TIBA DILOKASI","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","","TERPASANG/TERKIRIM","PENGIRIMAN","TRANSIT","TERPASANG/TERKIRIM","TIBA DILOKASI","","","","TRANSIT","",""
"49","TERPASANG/TERKIRIM","TIBA DILOKASI","TIBA DILOKASI","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","","TERPASANG/TERKIRIM","PENGIRIMAN","TRANSIT","TERPASANG/TERKIRIM","TIBA DILOKASI","","","","TRANSIT","",""
"50","TERPASANG/TERKIRIM","TIBA DILOKASI","TIBA DILOKASI","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","","TERPASANG/TERKIRIM","PENGIRIMAN","TRANSIT","TERPASANG/TERKIRIM","TIBA DILOKASI","","","","TRANSIT","",""
"51","TERPASANG/TERKIRIM","TIBA DILOKASI","TIBA DILOKASI","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","","TERPASANG/TERKIRIM","PENGIRIMAN","TRANSIT","TERPASANG/TERKIRIM","TIBA DILOKASI","","","","TRANSIT","",""
"52","TERPASANG/TERKIRIM","TIBA DILOKASI","TIBA DILOKASI","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","","TERPASANG/TERKIRIM","PENGIRIMAN","TRANSIT","TERPASANG/TERKIRIM","TIBA DILOKASI","","","","TRANSIT","",""
"53","TERPASANG/TERKIRIM","TIBA DILOKASI","TIBA DILOKASI","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","","TERPASANG/TERKIRIM","PENGIRIMAN","TRANSIT","TERPASANG/TERKIRIM","TIBA DILOKASI","","","","TRANSIT","",""
"54","TERPASANG/TERKIRIM","TIBA DILOKASI","TIBA DILOKASI","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","PENGIRIMAN","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TIBA DILOKASI","","","","TRANSIT","",""
"55","TERPASANG/TERKIRIM","TIBA DILOKASI","TIBA DILOKASI","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","","TERPASANG/TERKIRIM","PENGIRIMAN","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TIBA DILOKASI","","","","TRANSIT","",""
"56","TERPASANG/TERKIRIM","TIBA DILOKASI","TIBA DILOKASI","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","PENGIRIMAN","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TIBA DILOKASI","","","","TRANSIT","",""
"57","TERPASANG/TERKIRIM","TIBA DILOKASI","TIBA DILOKASI","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","PENGIRIMAN","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TIBA DILOKASI","","","","TRANSIT","",""
"58","TERPASANG/TERKIRIM","TIBA DILOKASI","TIBA DILOKASI","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","","TERPASANG/TERKIRIM","PENGIRIMAN","TRANSIT","TERPASANG/TERKIRIM","TIBA DILOKASI","","","","TRANSIT","",""
"59","TERPASANG/TERKIRIM","TIBA DILOKASI","TIBA DILOKASI","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","","TERPASANG/TERKIRIM","PENGIRIMAN","TRANSIT","TERPASANG/TERKIRIM","TIBA DILOKASI","","","","TRANSIT","",""
"60","TERPASANG/TERKIRIM","TIBA DILOKASI","TIBA DILOKASI","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","PENGIRIMAN","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TIBA DILOKASI","","","","TRANSIT","",""
"61","TERPASANG/TERKIRIM","TIBA DILOKASI","TIBA DILOKASI","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","PENGIRIMAN","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TIBA DILOKASI","","","","TRANSIT","",""
"62","TERPASANG/TERKIRIM","TIBA DILOKASI","TIBA DILOKASI","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","PENGIRIMAN","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TIBA DILOKASI","","","","TRANSIT","",""
"63","TERPASANG/TERKIRIM","TIBA DILOKASI","TIBA DILOKASI","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","PENGIRIMAN","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TIBA DILOKASI","","","","TRANSIT","",""
"64","TERPASANG/TERKIRIM","TIBA DILOKASI","TIBA DILOKASI","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","","TERPASANG/TERKIRIM","PENGIRIMAN","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TIBA DILOKASI","","","","TRANSIT","",""
"65","TERPASANG/TERKIRIM","TIBA DILOKASI","TIBA DILOKASI","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","","TERPASANG/TERKIRIM","PENGIRIMAN","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TIBA DILOKASI","","","","TRANSIT","",""
"66","TERPASANG/TERKIRIM","TIBA DILOKASI","TIBA DILOKASI","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","","TERPASANG/TERKIRIM","PENGIRIMAN","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TIBA DILOKASI","","","","TRANSIT","",""
"67","TERPASANG/TERKIRIM","TIBA DILOKASI","TIBA DILOKASI","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","","TERPASANG/TERKIRIM","PENGIRIMAN","TRANSIT","TERPASANG/TERKIRIM","TIBA DILOKASI","","","","TRANSIT","",""
"68","TERPASANG/TERKIRIM","TIBA DILOKASI","TIBA DILOKASI","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","","TERPASANG/TERKIRIM","PENGIRIMAN","TRANSIT","TERPASANG/TERKIRIM","TIBA DILOKASI","","","","TRANSIT","",""
"69","TERPASANG/TERKIRIM","TIBA DILOKASI","TIBA DILOKASI","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","","TERPASANG/TERKIRIM","PENGIRIMAN","PENGIRIMAN","TERPASANG/TERKIRIM","TIBA DILOKASI","","","","TRANSIT","",""
"70","TERPASANG/TERKIRIM","TIBA DILOKASI","TIBA DILOKASI","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","","TERPASANG/TERKIRIM","PENGIRIMAN","PENGIRIMAN","TERPASANG/TERKIRIM","TIBA DILOKASI","","","","TRANSIT","",""
"71","TERPASANG/TERKIRIM","TIBA DILOKASI","TIBA DILOKASI","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","","TERPASANG/TERKIRIM","PENGIRIMAN","PENGIRIMAN","TERPASANG/TERKIRIM","TIBA DILOKASI","","","","TRANSIT","",""
"72","TERPASANG/TERKIRIM","TIBA DILOKASI","TIBA DILOKASI","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","","TERPASANG/TERKIRIM","PENGIRIMAN","TRANSIT","TERPASANG/TERKIRIM","TIBA DILOKASI","","","","TRANSIT","",""
"73","TERPASANG/TERKIRIM","TIBA DILOKASI","TIBA DILOKASI","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","PENGIRIMAN","TRANSIT","TERPASANG/TERKIRIM","TIBA DILOKASI","","","","TRANSIT","",""
"74","TERPASANG/TERKIRIM","TIBA DILOKASI","TIBA DILOKASI","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","","TERPASANG/TERKIRIM","PENGIRIMAN","TRANSIT","TERPASANG/TERKIRIM","TIBA DILOKASI","","","","TRANSIT","",""
"75","TERPASANG/TERKIRIM","TIBA DILOKASI","TIBA DILOKASI","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","","TERPASANG/TERKIRIM","PENGIRIMAN","TRANSIT","TERPASANG/TERKIRIM","TIBA DILOKASI","","","","TRANSIT","",""
"76","TERPASANG/TERKIRIM","TIBA DILOKASI","TIBA DILOKASI","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","","TERPASANG/TERKIRIM","PENGIRIMAN","TRANSIT","TERPASANG/TERKIRIM","TIBA DILOKASI","","","","TRANSIT","",""
"77","TERPASANG/TERKIRIM","TIBA DILOKASI","TIBA DILOKASI","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","","TERPASANG/TERKIRIM","PENGIRIMAN","TRANSIT","TERPASANG/TERKIRIM","TIBA DILOKASI","","","","TRANSIT","",""
"78","TERPASANG/TERKIRIM","TIBA DILOKASI","TIBA DILOKASI","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","","TERPASANG/TERKIRIM","PENGIRIMAN","TRANSIT","TERPASANG/TERKIRIM","TIBA DILOKASI","","","","TRANSIT","",""
"79","TERPASANG/TERKIRIM","TIBA DILOKASI","TIBA DILOKASI","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","","TERPASANG/TERKIRIM","PENGIRIMAN","TRANSIT","TERPASANG/TERKIRIM","TIBA DILOKASI","","","","TRANSIT","",""
"80","TERPASANG/TERKIRIM","TIBA DILOKASI","TIBA DILOKASI","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","","TERPASANG/TERKIRIM","PENGIRIMAN","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TIBA DILOKASI","","","","TRANSIT","",""
"81","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TIBA DILOKASI","TERPASANG/TERKIRIM","TRANSIT","TERPASANG/TERKIRIM","","",""
"82","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TIBA DILOKASI","TERPASANG/TERKIRIM","TRANSIT","TERPASANG/TERKIRIM","","",""
"83","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TIBA DILOKASI","TERPASANG/TERKIRIM","TRANSIT","TERPASANG/TERKIRIM","","",""
"84","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TIBA DILOKASI","TERPASANG/TERKIRIM","TRANSIT","TERPASANG/TERKIRIM","","",""
"85","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TIBA DILOKASI","TERPASANG/TERKIRIM","TRANSIT","TERPASANG/TERKIRIM","","",""
"86","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TIBA DILOKASI","TERPASANG/TERKIRIM","TRANSIT","TERPASANG/TERKIRIM","","",""
"87","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TIBA DILOKASI","TERPASANG/TERKIRIM","TRANSIT","TERPASANG/TERKIRIM","","",""
"88","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TERPASANG/TERKIRIM","TIBA DILOKASI","TERPASANG/TERKIRIM","TRANSIT","TERPASANG/TERKIRIM","","",""
